"","year","co2","tmp"
"1",-419095,277.6,0.94
"2",-416872,286.9,1.36
"3",-414692,285.5,1.07
"4",-413062,285.5,1.08
"5",-410979,281.2,1.27
"6",-408485,281.2,0.94
"7",-406441,279.7,0.31
"8",-404346,279.7,-0.37
"9",-402179,278,-1.26
"10",-400553,277.1,-1.58
"11",-398361,274.7,-1.92
"12",-396126,250.2,-2.8
"13",-394297,255.2,-5.02
"14",-391658,255.2,-5.6
"15",-389700,259.3,-5.44
"16",-387804,264.7,-5.4
"17",-385894,258.1,-5.36
"18",-383641,258.1,-2.5
"19",-381551,246.9,-4.05
"20",-379297,239.1,-4.63
"21",-377702,240,-2.99
"22",-375604,227,-5.08
"23",-373331,229.7,-5.9
"24",-370960,224.6,-5.74
"25",-369331,214.7,-4.54
"26",-367297,200,-4.86
"27",-365208,201.9,-5.88
"28",-363042,206.4,-6.2
"29",-360904,201.2,-6.05
"30",-358786,185.8,-6.64
"31",-356612,186.2,-7.24
"32",-354400,193,-7.46
"33",-352710,193,-7.77
"34",-350493,209.5,-7.64
"35",-348357,216.2,-7.05
"36",-346319,221.2,-6.76
"37",-344348,220.4,-6.84
"38",-342401,211.9,-6.32
"39",-339993,205.2,-7.13
"40",-338033,200.7,-7.16
"41",-336081,250.2,-7.28
"42",-334101,234.2,-7.94
"43",-331725,239.7,-6.06
"44",-329694,255.7,-4.56
"45",-327597,278.7,-2.55
"46",-325789,278.2,0.05
"47",-323695,282.4,2.99
"48",-321559,271.8,1.66
"49",-319364,275.2,0.16
"50",-317401,266.2,-0.39
"51",-315194,260.6,-0.97
"52",-313159,257.2,-1.79
"53",-311035,249.2,-2.54
"54",-309077,245.2,-3.86
"55",-307005,272.7,-5.09
"56",-304886,257.2,-4.13
"57",-302834,241.9,-2.28
"58",-300799,233.2,-2.97
"59",-298749,227.9,-3.81
"60",-296562,248.6,-5.04
"61",-294348,240.2,-6.06
"62",-292490,239,-3.52
"63",-290382,224.4,-6
"64",-288145,217.1,-5.68
"65",-286248,212.7,-6.27
"66",-283941,206,-5.95
"67",-281875,217.2,-6.39
"68",-280038,234.9,-6.17
"69",-277903,230.4,-4
"70",-275772,228,-3.53
"71",-273605,231.4,-4.33
"72",-271584,215.4,-5.74
"73",-269429,202.2,-6.65
"74",-267431,194.2,-7.65
"75",-265321,184.7,-8.13
"76",-263201,194.2,-8.13
"77",-261336,211.7,-8.43
"78",-259235,228.2,-8.09
"79",-256994,208.9,-7.13
"80",-254972,209.7,-5.41
"81",-252986,204,-6.55
"82",-250818,195.4,-5.29
"83",-248680,213.9,-7.41
"84",-246700,200.2,-6.78
"85",-244551,214.7,-7.02
"86",-242576,249.9,-5.74
"87",-240548,263.8,-3.43
"88",-238419,259.8,1.66
"89",-236385,243.1,-1.11
"90",-234268,245.2,-2.66
"91",-232140,233.9,-4.38
"92",-230088,224.5,-6.15
"93",-228064,215.7,-6.5
"94",-225900,205.7,-6.59
"95",-223792,216.1,-7.6
"96",-221850,214.1,-6.02
"97",-219738,251.7,-3.42
"98",-217699,241.4,-1.18
"99",-215608,243.4,-1.22
"100",-213453,243.9,-1.67
"101",-211366,238.2,-2.56
"102",-209315,232.2,-2.88
"103",-207278,247.7,-4.31
"104",-205214,251,-3.69
"105",-203046,251,-2.38
"106",-200998,226.4,-2.78
"107",-198992,226.5,-2.96
"108",-196846,218,-4.49
"109",-194806,231.5,-4.23
"110",-192638,231.4,-6.01
"111",-190587,210.7,-4.79
"112",-188467,199.8,-7.63
"113",-186499,217.7,-8.14
"114",-184367,213.2,-7.37
"115",-182284,207.7,-8
"116",-180182,190.3,-6.35
"117",-178153,196,-7.25
"118",-176117,197.8,-7.23
"119",-173988,197.9,-5.91
"120",-171880,197.9,-7.08
"121",-169866,186.7,-6.87
"122",-167790,191.6,-8.05
"123",-165646,196.5,-8.17
"124",-163546,204.4,-6.81
"125",-161545,204.4,-7.41
"126",-159444,189,-6.58
"127",-157324,200.6,-8.59
"128",-155271,191.9,-8.06
"129",-153188,203,-7.78
"130",-151181,197,-6.91
"131",-149022,197,-7.62
"132",-147014,195.6,-7.88
"133",-144894,192.3,-8.32
"134",-142779,194.4,-8.68
"135",-140766,198.1,-8.38
"136",-138644,208.9,-8.67
"137",-136614,223.5,-7.29
"138",-134538,245,-5.76
"139",-132406,257.9,-2.44
"140",-130353,274.1,0.84
"141",-128309,267.1,2.78
"142",-126217,268.7,0.53
"143",-124154,272.2,0.59
"144",-122064,272,-0.37
"145",-119955,267.6,-1.16
"146",-117886,274.6,-1.88
"147",-115816,256.8,-3.11
"148",-113736,245.7,-5.62
"149",-111640,238.2,-5.68
"150",-109543,230.7,-6.09
"151",-107515,228.2,-6.48
"152",-105413,236.9,-4.29
"153",-103341,225.9,-3.55
"154",-101234,225.9,-3.18
"155",-99205,232.1,-4.35
"156",-97075,232.1,-4.42
"157",-95000,224.3,-3.96
"158",-92967,208,-4.06
"159",-90885,214.2,-4.79
"160",-88793,241.1,-4.93
"161",-86707,231,-3.99
"162",-84638,231,-2.65
"163",-82573,217.1,-4.53
"164",-80498,217.1,-4.45
"165",-78353,229.2,-5.71
"166",-76313,227.4,-4.05
"167",-74238,227.4,-6.31
"168",-72152,195,-5.69
"169",-70054,191.4,-7.84
"170",-67945,195.4,-7.89
"171",-65949,195.4,-7.4
"172",-63865,195.4,-6.82
"173",-61765,221.8,-6.5
"174",-59674,221.8,-5.53
"175",-57590,221.8,-4.86
"176",-55536,190.4,-5.21
"177",-53436,215.7,-6.05
"178",-51384,188.4,-5.6
"179",-49272,189.3,-5.51
"180",-47214,189.3,-5.92
"181",-45139,209.1,-6.69
"182",-43073,209.1,-5.8
"183",-40952,209.1,-5.74
"184",-38865,209.1,-6.64
"185",-36827,205.4,-6.02
"186",-34744,205.4,-5.7
"187",-32626,188.5,-6.62
"188",-30622,188.5,-7.52
"189",-28510,191.6,-8.47
"190",-26425,189.2,-7.82
"191",-24363,189.2,-9.39
"192",-22284,182.2,-8.82
"193",-20197,182.2,-7.52
"194",-18116,225.3,-8.63
"195",-16057,236.2,-5.75
"196",-13992,263.7,-2.32
"197",-11861,261.6,-2.85
"198",-9831,254.6,-0.74
"199",-7745,262.2,-0.72
"200",-5674,284.7,-0.06
