,INCOME,DEGREE,CHILDREN,PINCOME,PDEGREE,PCHILDREN,AGE
1,NaN,1,3,3,1,5,59
2,11,0,3,NaN,0,7,59
3,8,1,1,NaN,0,9,25
4,25,3,2,NaN,0,5,55
5,100,3,2,4,3,2,56
6,40,4,0,NaN,4,5,36
7,8,3,0,NaN,3,3,36
8,8,3,0,NaN,1,4,26
9,75,4,1,4,4,3,51
10,20,1,0,NaN,0,2,53
11,50,4,0,3,1,5,53
12,NaN,0,2,2,0,8,38
13,9,1,0,NaN,1,2,25
14,40,3,0,NaN,3,2,23
15,100,4,0,5,3,3,34
16,15,1,0,2,1,6,31
17,40,3,2,3,1,2,42
18,9,1,0,NaN,1,8,43
19,11,1,3,NaN,0,3,58
20,25,0,2,NaN,0,10,45
21,NaN,1,1,NaN,NaN,13,57
22,20,1,3,3,1,6,50
23,8,0,2,3,0,13,46
24,100,3,4,NaN,0,6,55
25,100,4,2,NaN,3,3,44
26,NaN,3,0,4,4,2,24
27,75,3,2,4,3,5,34
28,NaN,1,0,3,1,3,21
29,100,4,2,NaN,3,5,37
30,20,1,0,3,0,2,48
31,11,3,0,NaN,0,5,34
32,15,4,0,NaN,1,9,30
33,9,0,3,3,0,14,62
34,12,0,1,NaN,NaN,4,57
35,40,4,0,NaN,1,4,33
36,12,0,0,NaN,0,5,55
37,50,1,2,NaN,1,6,47
38,100,4,2,NaN,3,4,53
39,40,1,3,3,1,2,46
40,30,1,2,NaN,3,2,53
41,30,1,2,NaN,1,4,35
42,50,1,4,2,0,6,35
43,40,2,1,NaN,1,4,35
44,25,1,3,1,0,1,47
45,25,1,2,NaN,1,3,55
46,11,1,0,NaN,0,3,31
47,75,4,0,3,3,2,48
48,50,3,0,2,1,3,34
49,20,1,2,3,1,5,31
50,15,1,5,2,0,7,47
51,30,1,2,1,0,13,46
52,NaN,3,1,NaN,3,2,35
53,100,3,4,NaN,1,4,38
54,100,3,2,NaN,3,3,48
55,NaN,3,1,NaN,1,2,29
56,50,1,3,NaN,1,4,50
57,100,3,0,4,3,6,31
58,25,3,2,4,4,7,41
59,50,4,0,3,4,8,38
60,30,1,3,NaN,0,3,57
61,5,0,0,NaN,NaN,9,55
62,NaN,1,1,3,2,4,33
63,50,4,1,2,4,1,39
64,40,1,5,2,2,1,47
65,NaN,4,2,NaN,0,5,48
66,NaN,4,4,NaN,3,2,53
67,NaN,1,0,NaN,NaN,8,75
68,25,1,0,3,4,2,31
69,40,3,2,NaN,0,2,41
70,75,1,4,NaN,1,3,49
71,50,3,2,5,0,3,33
72,25,1,0,4,1,4,38
73,75,1,2,NaN,1,2,37
74,100,3,4,NaN,0,5,56
75,30,1,0,NaN,1,5,43
76,3,1,0,3,1,3,21
77,25,1,0,NaN,1,4,39
78,100,3,3,NaN,0,7,41
79,NaN,3,2,NaN,0,3,53
80,11,1,0,3,1,5,40
81,30,3,0,NaN,4,3,33
82,25,3,0,1,0,11,40
83,40,3,2,2,4,1,42
84,NaN,1,3,NaN,1,2,44
85,100,4,2,NaN,0,5,49
86,30,3,0,4,1,1,37
87,9,1,0,NaN,1,2,24
88,40,3,1,NaN,1,1,28
89,9,1,0,NaN,1,4,23
90,30,1,3,NaN,1,4,46
91,25,0,2,NaN,1,5,33
92,8,0,0,NaN,1,10,29
93,0,1,0,2,1,3,30
94,7,1,2,3,0,5,42
95,25,1,2,NaN,1,2,33
96,30,1,1,2,1,14,37
97,NaN,0,4,3,NaN,11,37
98,1,1,2,NaN,1,5,48
99,40,1,2,NaN,1,5,28
100,75,4,3,NaN,1,6,75
101,4,1,0,3,1,2,20
102,40,3,0,4,3,3,34
103,NaN,1,NaN,NaN,NaN,4,37
104,20,3,0,NaN,0,4,52
105,100,4,2,4,3,3,49
106,100,1,2,3,0,3,54
107,11,0,1,3,1,3,49
108,25,1,2,3,1,2,40
109,75,3,2,1,0,4,52
110,9,0,1,NaN,0,17,26
111,30,1,1,NaN,1,2,41
112,9,1,0,NaN,1,2,29
113,11,1,3,3,1,5,46
114,4,1,2,NaN,0,6,30
115,20,1,2,NaN,0,6,33
116,20,1,0,NaN,1,2,33
117,10,1,2,NaN,3,4,32
118,50,1,4,3,3,5,57
119,NaN,4,5,NaN,1,7,44
120,40,3,1,4,4,3,34
121,50,1,2,NaN,1,3,49
122,25,3,0,3,1,5,28
123,75,3,2,NaN,3,8,46
124,8,1,3,NaN,0,3,68
125,20,3,0,NaN,1,5,25
126,20,4,0,NaN,1,5,27
127,12,1,0,NaN,1,1,25
128,NaN,2,8,NaN,4,14,63
129,40,2,0,4,4,5,36
130,8,3,2,NaN,1,6,49
131,9,1,0,NaN,NaN,4,37
132,50,3,1,3,2,2,29
133,50,3,2,2,1,4,47
134,40,4,3,NaN,3,5,36
135,75,4,1,3,1,5,48
136,50,3,0,2,1,4,34
137,75,1,1,NaN,3,4,32
138,75,3,3,4,1,5,33
139,40,1,1,3,1,6,44
140,11,0,3,3,0,7,56
141,25,1,1,3,1,5,44
142,NaN,1,0,1,1,7,35
143,15,1,4,3,1,8,51
144,7,3,0,NaN,2,4,31
145,30,4,0,3,1,2,42
146,20,3,0,3,0,5,49
147,0,1,0,3,1,5,20
148,NaN,4,3,3,4,3,42
149,100,4,2,NaN,1,2,52
150,8,1,0,NaN,1,2,34
151,10,0,5,3,NaN,2,53
152,11,1,0,5,1,2,29
153,2,1,0,NaN,1,3,24
154,25,1,6,1,1,4,60
155,6,1,0,NaN,0,2,39
156,8,1,0,NaN,0,2,42
157,8,3,2,NaN,2,1,40
158,8,1,2,3,1,6,54
159,25,1,0,4,1,1,35
160,11,1,0,NaN,1,5,24
161,40,3,0,2,1,4,50
162,2,1,2,3,0,2,68
163,15,1,1,NaN,0,7,50
164,30,1,0,3,1,5,60
165,2,0,1,NaN,0,5,89
166,75,1,0,3,1,3,31
167,25,1,0,NaN,1,3,40
168,20,1,1,3,1,4,34
169,12,1,2,NaN,1,3,33
170,30,2,1,1,0,2,35
171,2,2,1,NaN,1,2,41
172,11,3,0,NaN,3,3,26
173,20,1,3,NaN,1,1,38
174,15,1,2,NaN,0,8,37
175,NaN,0,1,NaN,0,5,40
176,20,1,3,2,1,7,30
177,30,1,0,4,3,4,46
178,12,1,0,NaN,1,5,42
179,25,1,0,3,1,7,31
180,25,2,3,3,1,4,39
181,25,1,7,4,1,4,50
182,25,4,1,NaN,3,3,31
183,50,4,1,NaN,0,3,48
184,100,4,2,3,1,3,48
185,100,3,2,3,1,2,59
186,0,1,0,NaN,3,1,20
187,40,3,3,4,4,3,52
188,100,4,2,4,0,6,51
189,7,1,3,3,1,5,36
190,30,1,2,3,1,6,34
191,25,1,0,NaN,1,4,36
192,50,3,2,3,1,1,32
193,15,1,0,3,3,4,30
194,0,0,0,4,3,2,19
195,NaN,1,0,3,1,8,23
196,20,1,3,NaN,0,5,61
197,NaN,3,2,3,3,3,40
198,0,1,2,NaN,0,3,39
199,40,3,1,3,3,3,34
200,40,1,2,3,1,5,38
201,11,2,0,NaN,1,3,31
202,15,3,0,3,1,4,42
203,9,2,0,3,2,5,23
204,11,1,4,NaN,1,3,72
205,6,2,0,4,1,3,29
206,10,3,1,NaN,1,13,38
207,NaN,3,0,4,4,4,42
208,10,1,6,NaN,NaN,2,61
209,25,1,4,2,NaN,7,53
210,25,3,0,4,1,4,30
211,30,2,1,3,1,3,48
212,1,1,0,2,2,1,20
213,12,1,2,3,1,2,43
214,9,0,0,NaN,1,3,28
215,50,1,2,4,1,1,53
216,9,0,1,2,0,5,29
217,10,1,0,3,1,3,32
218,30,1,2,NaN,3,2,31
219,2,0,0,NaN,3,5,30
220,40,1,0,4,1,4,30
221,25,4,0,2,4,8,35
222,25,3,4,NaN,1,8,41
223,8,4,0,NaN,4,2,23
224,8,3,0,NaN,1,2,25
225,15,1,1,3,1,5,23
226,7,1,1,4,1,4,38
227,1,1,0,4,3,3,31
228,NaN,4,1,NaN,4,2,41
229,40,4,0,NaN,3,4,30
230,NaN,1,2,2,1,6,46
231,12,3,0,4,3,2,27
232,100,4,0,4,4,3,34
233,50,4,0,4,1,6,44
234,9,1,0,2,2,3,25
235,7,1,0,3,1,2,31
236,25,1,0,2,0,3,46
237,75,1,1,NaN,1,5,33
238,40,4,3,NaN,3,6,49
239,12,1,2,3,1,3,44
240,0,0,0,3,1,5,18
241,50,2,2,3,0,6,34
242,10,0,2,NaN,0,10,34
243,2,1,2,4,0,6,26
244,NaN,1,2,3,1,3,46
245,NaN,NaN,NaN,NaN,0,4,43
246,20,1,3,3,4,5,53
247,15,3,3,3,1,3,47
248,100,4,3,NaN,3,2,48
249,100,4,3,NaN,1,2,49
250,100,3,2,3,4,4,44
251,100,4,1,3,1,3,41
252,100,3,2,NaN,1,3,54
253,50,3,0,4,3,4,36
254,30,1,1,3,2,2,51
255,15,2,0,NaN,1,4,36
256,12,3,0,NaN,1,3,36
257,75,4,0,NaN,1,3,34
258,9,1,0,1,0,7,37
259,15,1,0,3,2,3,28
260,30,4,3,NaN,3,3,47
261,100,1,1,3,4,4,49
262,25,1,0,NaN,1,3,32
263,NaN,3,1,2,1,2,32
264,NaN,1,1,NaN,4,2,26
265,100,3,1,2,1,1,48
266,100,1,3,2,1,2,50
267,12,3,0,NaN,3,2,26
268,100,3,NaN,NaN,1,3,50
269,15,2,4,3,3,3,57
270,100,4,0,4,3,4,39
271,100,3,3,3,3,3,36
272,100,3,2,NaN,1,2,52
273,75,4,2,3,1,3,47
274,30,3,2,2,0,13,38
275,75,4,2,3,0,4,49
276,NaN,2,0,NaN,1,8,39
277,20,1,0,3,3,3,37
278,NaN,1,3,3,0,8,31
279,75,3,4,NaN,1,2,48
280,40,1,2,NaN,1,4,32
281,100,3,2,NaN,3,2,45
282,50,2,2,NaN,0,3,42
283,6,0,0,2,1,6,19
284,9,1,1,NaN,2,4,30
285,8,1,1,NaN,1,3,31
286,15,1,0,NaN,3,5,31
287,20,1,3,3,3,2,46
288,8,0,1,1,0,8,43
289,4,1,0,NaN,1,4,33
290,9,1,1,NaN,1,2,23
291,12,2,2,4,1,3,26
292,12,1,2,3,1,4,33
293,50,0,3,NaN,0,6,53
294,15,1,3,3,2,9,44
295,20,0,7,2,0,11,57
296,40,4,4,2,1,4,44
297,12,2,0,4,3,3,27
298,15,3,0,4,1,2,27
299,8,3,0,NaN,1,3,27
300,NaN,1,0,3,1,2,33
301,30,3,0,NaN,3,3,35
302,30,1,0,2,1,5,39
303,25,4,0,NaN,4,6,37
304,10,1,0,NaN,1,7,38
305,75,3,2,2,3,3,49
306,40,3,0,4,1,2,35
307,30,1,4,NaN,1,8,58
308,1,0,0,3,1,4,35
309,NaN,3,0,NaN,1,1,45
310,40,2,3,NaN,1,6,47
311,40,1,2,2,1,5,47
312,1,1,1,NaN,1,4,24
313,11,1,0,2,0,4,26
314,30,2,1,NaN,1,4,46
315,12,1,1,3,1,3,23
316,25,1,1,2,1,7,38
317,15,2,3,3,1,2,42
318,8,1,0,NaN,1,3,23
319,75,2,2,NaN,1,5,37
320,7,0,1,NaN,0,8,33
321,30,1,0,1,4,1,34
322,NaN,3,0,3,2,4,35
323,15,1,2,NaN,1,6,26
324,30,1,2,4,3,3,32
325,NaN,2,0,NaN,3,8,43
326,50,3,2,NaN,1,3,37
327,NaN,1,2,3,0,12,37
328,NaN,1,3,NaN,1,12,53
329,20,0,4,3,0,14,58
330,NaN,0,0,NaN,0,5,50
331,12,1,0,3,1,1,34
332,100,3,1,5,4,4,28
333,100,3,4,NaN,1,5,54
334,50,1,1,NaN,1,7,38
335,NaN,1,2,NaN,1,5,48
336,25,0,4,NaN,0,3,43
337,NaN,3,0,NaN,1,2,29
338,50,3,1,3,1,2,43
339,20,1,0,3,1,10,58
340,40,4,2,3,1,2,46
341,NaN,1,0,NaN,0,3,20
342,100,1,3,4,1,2,53
343,6,1,0,NaN,1,8,23
344,15,1,1,3,0,7,48
345,12,3,1,NaN,1,3,33
346,75,4,0,4,4,4,47
347,40,3,0,NaN,1,6,34
348,NaN,4,7,NaN,1,6,65
349,100,3,2,4,3,3,46
350,40,2,3,2,1,4,40
351,50,1,2,NaN,1,4,32
352,8,1,0,3,1,9,27
353,30,4,1,NaN,3,5,34
354,10,1,0,3,1,5,27
355,20,3,0,NaN,3,4,33
356,25,3,2,2,3,1,34
357,30,3,0,NaN,4,4,31
358,50,3,3,3,1,5,33
359,40,1,2,NaN,1,3,38
360,30,1,3,NaN,1,4,51
361,30,3,1,4,3,4,39
362,40,2,2,3,1,7,48
363,50,4,0,2,4,3,40
364,40,1,0,NaN,1,2,46
365,11,1,0,NaN,3,2,22
366,0,1,0,3,3,2,19
367,50,4,2,2,3,3,45
368,25,3,2,NaN,3,3,37
369,50,1,3,NaN,1,2,54
370,9,3,0,NaN,3,3,52
371,50,3,3,3,4,3,36
372,9,1,2,NaN,1,5,32
373,12,3,0,3,1,3,32
374,NaN,1,0,NaN,1,1,46
375,NaN,0,0,2,NaN,5,29
376,20,0,6,3,1,6,65
377,NaN,0,4,NaN,NaN,8,49
378,NaN,1,4,3,0,1,55
379,30,3,1,NaN,1,2,39
380,15,2,0,NaN,0,11,34
381,50,3,2,4,4,4,38
382,25,3,0,4,1,2,25
383,40,1,0,3,1,9,36
384,25,3,1,NaN,1,2,35
385,NaN,0,2,4,0,9,35
386,9,1,1,4,4,5,40
387,NaN,2,2,3,3,3,25
388,30,1,3,NaN,1,10,44
389,40,1,1,NaN,0,3,44
390,75,1,5,NaN,1,4,58
391,NaN,1,4,NaN,0,5,63
392,20,1,2,4,0,6,38
393,40,1,2,2,1,2,40
394,NaN,1,8,NaN,0,3,50
395,40,4,3,3,4,3,43
396,20,3,3,2,1,2,43
397,10,1,0,NaN,1,5,26
398,12,3,3,3,1,4,28
399,40,4,0,3,0,3,30
400,20,3,0,4,3,2,27
401,3,1,2,NaN,1,7,57
402,15,1,3,4,1,6,40
403,NaN,0,1,3,1,3,27
404,2,0,0,NaN,1,2,18
405,50,1,3,NaN,0,2,44
406,12,1,0,4,1,3,32
407,40,1,2,3,1,2,43
408,40,3,3,2,1,5,45
409,50,2,2,NaN,1,4,38
410,1,1,0,NaN,1,3,23
411,11,1,1,2,0,10,38
412,20,1,1,4,1,3,38
413,11,0,3,3,0,2,60
414,50,4,3,3,1,2,56
415,5,1,2,NaN,1,3,44
416,8,1,0,NaN,NaN,1,23
417,40,4,0,4,1,4,35
418,50,1,0,NaN,0,4,43
419,9,1,0,2,1,2,26
420,9,1,0,4,2,5,24
421,3,1,1,NaN,1,7,31
422,5,0,1,NaN,0,5,76
423,4,1,1,3,1,2,51
424,11,2,1,2,1,2,41
425,6,1,0,NaN,0,1,41
426,6,1,0,NaN,1,1,26
427,20,1,1,3,1,3,36
428,10,3,3,3,4,3,49
429,9,1,3,NaN,0,6,34
430,NaN,3,0,NaN,2,6,41
431,NaN,1,3,NaN,1,NaN,49
432,NaN,1,2,3,0,5,53
433,30,1,2,3,1,12,45
434,30,1,2,3,0,3,51
435,50,3,3,2,0,3,52
436,25,1,3,3,1,4,33
437,25,1,2,NaN,0,6,32
438,50,1,3,NaN,0,3,58
439,NaN,4,0,3,0,6,44
440,20,1,2,NaN,0,2,38
441,40,1,3,3,1,3,33
442,10,1,0,4,1,5,32
443,25,1,2,NaN,0,5,55
444,20,1,3,3,1,13,34
445,50,2,2,NaN,1,3,48
446,7,3,5,1,0,7,74
447,30,1,4,NaN,3,3,25
448,8,0,2,NaN,1,6,25
449,75,3,5,NaN,0,9,55
450,3,1,2,NaN,1,6,30
451,0,1,0,NaN,0,5,20
452,20,3,0,3,1,2,24
453,15,1,0,NaN,1,4,39
454,100,3,3,NaN,4,4,70
455,100,3,0,NaN,1,2,47
456,40,1,2,4,1,4,43
457,15,1,1,NaN,3,3,34
458,25,3,0,4,4,2,41
459,40,1,3,NaN,NaN,3,73
460,40,4,1,3,1,8,41
461,NaN,3,1,NaN,1,4,32
462,20,1,0,3,1,5,32
463,NaN,1,2,3,0,3,40
464,20,1,1,3,1,5,37
465,7,3,1,3,1,2,39
466,30,2,3,3,NaN,3,40
467,25,2,2,4,1,4,36
468,25,1,0,3,1,3,25
469,30,2,0,NaN,1,5,31
470,12,1,4,NaN,1,7,39
471,20,1,0,3,1,6,46
472,0,0,0,NaN,1,1,21
473,NaN,1,2,NaN,1,5,36
474,15,1,3,NaN,1,1,47
475,11,1,0,4,1,2,48
476,8,3,0,3,1,7,39
477,50,4,3,3,4,4,40
478,3,2,8,NaN,1,9,49
479,6,1,0,NaN,4,3,25
480,10,1,5,3,1,5,47
481,100,3,4,4,3,5,55
482,15,1,0,NaN,1,3,41
483,20,1,0,2,1,5,25
484,40,1,0,NaN,NaN,2,36
485,40,4,1,3,0,2,47
486,NaN,1,0,NaN,4,2,20
487,12,0,0,4,1,2,38
488,40,1,0,NaN,1,24,32
489,9,1,3,NaN,1,7,53
490,25,1,2,NaN,1,5,32
491,75,0,4,3,NaN,7,48
492,50,1,4,3,1,3,56
493,50,1,2,4,1,3,31
494,30,1,3,4,1,4,45
495,NaN,1,2,3,0,1,46
496,20,2,1,4,2,3,33
497,40,1,2,NaN,1,3,43
498,25,1,0,4,1,2,31
499,100,3,3,NaN,3,6,38
500,100,3,5,4,1,3,37
501,40,3,2,3,1,3,33
